id,name,taicol_taxon_id,is_valid,scientific_name,taxon_status,note,
836,五色鳥,t0037193,T,Psilopogon nuchalis,accepted,ok,
837,臺灣白眉林鴝(臺灣林鴝),,F,,,no-match,
838,白耳畫眉,t0029661,T,Heterophasia auricularis,accepted,ok,
839,東方灰林鴞(灰林鴞),,F,,,no-match,
840,蘭嶼角鴞,t0086030,T,Otus elegans botelensis,accepted,ok,
841,山羌 ,t0096460,T,Muntiacus reevesi,accepted,ok,
842,工作照 ,,F,,,no-match,
843,野豬 ,t0099008,T,Sus scrofa,accepted,ok,
844,鼬獾 ,t0027888,T,Melogale subaurantiaca,accepted,ok,
845,青背山雀,t0031647,T,Parus monticolus insperatus,accepted,ok,
846,台灣朱雀,t0030182,T,Carpodacus formosanus,accepted,ok,
847,山羊,t0077405,T,Capricornis swinhoei,accepted,ok,
848, 山鷸,t0032689,T,Scolopax rusticola,accepted,ok,
849,野野山羊,,F,,,no-match,
850,臺灣/酒紅朱雀,,F,,,no-match,
851,灰鷽/褐鷽,,F,,,no-match,
852,臺灣鷦眉(鱗胸鷦鷯),,F,,,no-match,
854,冠羽畫眉,t0049061,T,Yuhina brunneiceps,accepted,ok,
855,紋翼畫眉,t0070289,T,Actinodura morrisoniana,accepted,ok,
856,曠時攝影測試相機工作意思一下,,F,,,no-match,
857,臺灣山鷓鴣,t0057735,T,Arborophila crudigularis,accepted,ok,
858,白氏地鶇或虎斑地鶇,,F,,,no-match,
859,研究人員到點結束片,,F,,,ignored,
860,臺灣竹雞,t0057884,T,Bambusicola sonorivox,accepted,ok,
861,臺灣野野山羊,,F,,,no-match,
862,臺灣刺鼠,t0081716,T,Niviventer coninga,accepted,ok,
863,刺鼠或高山白腹鼠,,F,,,no-match,
864,一般遊客,,F,,,no-match,
865,小啄木,t0096707,T,Yungipicus canicapillus,accepted,ok,
866,荷氏松鼠,t0096785,T,Dremomys pernyi,accepted,ok,
867,大赤啄木,t0030933,T,Dendrocopos leucotos insularis,accepted,ok,
868,柳鶯類(無法辨識)(無法辨識),,F,,,no-match,
869,斑點鶇,t0048256,T,Turdus eunomus,accepted,ok,
870,小白鷺,t0028816,T,Egretta garzetta garzetta,accepted,ok,
871,成體,,F,,,no-match,
872,大/中白鷺,,F,,,no-match,
873,麻雀,t0031653,T,Passer montanus saturatus,accepted,ok,
874,紅鳩,t0086301,T,Streptopelia tranquebarica humilis,accepted,ok,
875,環頸雉,t0086094,T,Phasianus colchicus formosanus,accepted,ok,
876,大陸畫眉(中國畫眉),,F,,,no-match,
877,野鴿,t0079031,T,Columba livia,accepted,ok,
879,灰頭黑臉鵐,t0028848,T,Emberiza spodocephala spodocephala,accepted,ok,
880,灰背鶇,t0048258,T,Turdus hortulorum,accepted,ok,
881,赤翡翠(紅翡翠),,F,,,no-match,
882,池鷺,t0072181,T,Ardeola bacchus,accepted,ok,
883,亞成體,,F,,,no-match,
884,白腰文鳥,t0027556,T,Lonchura striata swinhoei,accepted,ok,
885,黃腹琉璃(黃腹仙鶲),,F,,,no-match,
890,b,,F,,,ignored,
892,a,,F,,,ignored,
893,1234,,F,,,ignored,
895,5689,,F,,,ignored,
896,ap,,F,,,ignored,
898,1234y,,F,,,ignored,
